Unnamed: 0,Reference area,TIME_PERIOD,Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling safe at night [Percentage of population aged 15 years or over],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
664,New Zealand,2017,55362.023,10.6,82.695,68.3333333333,34896.0,73.3328613619,81.7,7.75,0.7467476636,94.5086496191,506.9084264836
665,New Zealand,2018,56744.507,10.0,82.974,68.3333333333,35995.0,73.4997921889,81.7,7.7,0.5848379052,94.5086496191,505.7272834164
666,New Zealand,2019,58453.96,9.6,82.768,68.3333333333,37104.0,73.7872919555,82.1,7.7,0.5276395147,94.5086496191,504.5079625623
667,New Zealand,2020,59982.433,9.200000000000001,82.13,63.3333333333,38925.0,74.2401402351,82.3,7.7,0.4074893617,95.2381826177,503.2886417082
668,New Zealand,2021,62548.88,8.8,83.232,63.3333333333,39181.0,73.8256210156,82.3,7.7,0.4285716895,95.2381826177,502.0693208541
669,New Zealand,2022,61835.637,,84.108,63.3333333333,38626.0,73.7610975366,82.0,7.65,0.3861446281,95.2381826177,500.85
674,Norway,2006,61799.096,8.2,80.635,85.0,38331.0,80.6691166,80.6,,0.7758526399,94.3880486023,484.2925630404
675,Norway,2007,64542.772,5.9,81.99,83.0,39818.0,81.3645844505,80.6,,0.4475968749,93.74356538925,490.60504882543336
676,Norway,2008,65899.843,6.8,82.79,81.0,40490.0,81.4442347088,80.8,,0.3297521591,93.0990821762,496.91753461046665
677,Norway,2009,66588.673,7.3,82.063,82.5,41633.0,82.0375659785,81.0,,0.4990326716,93.025920296075,503.2300203955
678,Norway,2010,67461.662,6.0,81.057,84.0,42222.0,81.2633894624,81.2,,0.7189167808,92.95275841595,503.46557552263334
679,Norway,2011,69832.75,7.2,81.265,85.5,43100.0,82.0417238612,81.4,,0.7584084443,92.879596535825,503.70113064976664
680,Norway,2012,71736.757,6.4,81.547,87.0,44145.0,82.3613352748,81.5,,0.6035741712,92.8064346557,503.9366857769
681,Norway,2013,73205.926,6.6,81.204,87.33333333335,45014.0,82.2860367548,81.8,7.8856053859,0.6954908474,93.4628197958,507.0215147971667
682,Norway,2014,73536.862,4.7,81.318,87.6666666667,45455.0,82.5182333874,82.2,7.90455719506,0.7860442991,94.1192049359,510.10634381743336
683,Norway,2015,73904.025,5.1,80.662,87.6666666667,46882.0,82.6179704166,82.4,7.92350900422,0.9854029405,94.1192049359,513.1911728377
684,Norway,2016,72707.21,5.4,80.438,87.6666666667,46224.0,82.2270505002,82.5,7.94246081338,1.2351800828,94.1192049359,508.6111006426667
685,Norway,2017,72524.731,5.7,80.103,92.6666666667,46681.0,82.333695359,82.7,7.96141262254,1.1726504385,94.8537053938,504.03102844763333
686,Norway,2018,72871.271,6.3,80.813,92.6666666667,46716.0,82.1044780019,82.8,7.9803644317,0.9844895651,94.8537053938,499.4509562526
687,Norway,2019,74180.068,7.1,81.145,92.6666666667,47200.0,82.2255726367,83.0,7.820242954466667,0.8609090997,94.8537053938,493.71821718945
688,Norway,2020,74389.481,6.3,80.449,92.3333333333,46844.0,82.3338800288,83.3,7.660121477233333,0.8700228138,94.1929827814,487.9854781263
689,Norway,2021,76396.354,7.4,81.481,92.3333333333,48384.0,81.7859469328,83.2,7.5,1.0598055936,94.1929827814,482.25273906315
690,Norway,2022,75862.057,7.5,82.179,92.3333333333,46898.0,81.661969318,82.5,7.7152424816,0.6357249683,94.1929827814,476.52
691,Norway,2023,75026.67,9.1,81.616,91.5,,,83.1,7.6345566536,0.4917342593,93.9694495133,
716,Poland,2006,28365.129,46.9,63.117,64.0,19262.0,78.4184737805,75.3,,7.0784657622,89.4709268751,507.6395272512
717,Poland,2007,29294.747,40.2,65.522,64.0,20071.0,78.4705065482,75.4,,4.4565518072,89.4709268751,505.2525123638
718,Poland,2008,30833.397,35.6,67.487,61.3333333333,20850.0,78.3816120575,75.6,,2.0895936571,91.5959880314,502.8654974764
719,Poland,2009,30813.827,34.4,67.366,61.3333333333,21908.0,77.2790632051,75.9,,2.0853712626,91.5959880314,500.478482589
720,Poland,2010,32067.767,34.6,66.819,61.3333333333,22804.0,78.4310431144,76.4,,2.4873555111,91.5959880314,506.3812819529333
721,Poland,2011,32244.936,32.5,67.259,65.0,22886.0,78.1617761054,76.8,,3.0833806825,89.4263930278,512.2840813168666
722,Poland,2012,31928.483,34.2,67.45,65.0,23150.0,77.9731356363,76.9,,3.5515960549,89.4263930278,518.1868806808
723,Poland,2013,32275.745,32.5,67.613,65.0,23425.0,78.4721783522,77.1,7.3153997162,3.8168162102,89.4263930278,514.0236105920667
724,Poland,2014,33012.234,29.7,69.033,66.3333333333,24816.0,78.7374876032,77.8,7.39852345046,3.2980120126,88.7031447145,509.8603405033333
725,Poland,2015,33825.151,29.4,70.306,66.3333333333,25594.0,78.3285596432,77.5,7.48164718472,2.9833968954,88.7031447145,505.6970704146
726,Poland,2016,35614.62,24.8,71.507,66.3333333333,26898.0,79.2305564815,78.0,7.56477091898,2.1838991514,88.7031447145,507.74994540619997
727,Poland,2017,37071.011,22.1,72.934,70.6666666667,27813.0,79.3127522832,77.8,7.64789465324,1.5410739997,83.9307498522,509.8028203978
728,Poland,2018,39436.413,18.6,73.974,70.6666666667,29036.0,79.8602124374,77.7,7.7310183875,1.0498791802,83.9307498522,511.8556953894
729,Poland,2019,41872.122,15.7,74.951,70.6666666667,30467.0,80.0150369903,78.0,7.6680755122,0.7026357157,83.9307498522,506.06927154205
730,Poland,2020,42609.587,15.9,75.884,70.6666666667,32442.0,80.5573117889,76.4,7.6051326369000005,0.6331272371,90.6514684843,500.28284769469997
731,Poland,2021,42383.302,13.7,77.908,70.6666666667,32228.0,79.2900396438,75.4,7.5421897616,0.9083249481,90.6514684843,494.49642384735
732,Poland,2022,40538.726,15.3,79.069,70.6666666667,31732.0,78.682078498,77.2,7.6642820518,0.8733439115,90.6514684843,488.71
733,Poland,2023,41577.518,15.1,80.135,67.0,32249.0,78.9683100628,78.4,7.6173374355,0.76819524,88.0135482391,
737,Portugal,2006,36360.178,36.8,74.754,64.0,28963.0,83.6303074122,79.0,,4.0943032694,89.6887295719,472.3043050432
738,Portugal,2007,36602.684,37.5,74.603,63.33333333335,29249.0,83.2340851713,79.3,,3.9849305844,87.5755037966,477.98117797653333
739,Portugal,2008,36480.541,46.7,74.979,62.6666666667,29505.0,82.9592267653,79.5,,3.7882233404,85.4622780213,483.65805090986663
740,Portugal,2009,37908.795,46.1,73.167,62.6666666667,30271.0,82.8922410895,79.7,,4.7102248283,85.4622780213,489.3349238432
741,Portugal,2010,37767.447,44.9,72.656,62.6666666667,30078.0,82.204184014,80.1,,6.383127185,85.4622780213,488.80917834443335
742,Portugal,2011,36895.314,41.8,68.715,63.3333333333,28802.0,81.5852243299,80.7,,6.976668221,84.5661174983,488.28343284566665
743,Portugal,2012,35275.049,40.5,66.469,63.3333333333,27755.0,80.7092895267,80.6,,8.5015130339,84.5661174983,487.7576873469
744,Portugal,2013,35943.669,46.9,66.003,63.3333333333,27434.0,80.3079943475,80.9,6.1537453485,10.4188014924,84.5661174983,491.214760107
745,Portugal,2014,35355.799,43.7,68.723,72.0,27316.0,79.4813932609,81.3,6.26084125668,9.2257058557,86.5324113268,494.6718328671
746,Portugal,2015,35271.283,40.4,70.575,72.0,28251.0,79.8251596713,81.3,6.36793716486,8.0354663213,86.5324113268,498.1289056272
747,Portugal,2016,35282.081,36.7,72.121,72.0,28839.0,80.1006384481,81.3,6.4750330730400005,7.0689712883,86.5324113268,496.0195321342
748,Portugal,2017,35428.086,33.6,75.018,79.3333333333,29080.0,80.3115045227,81.6,6.58212898122,5.1288738871,88.3470438073,493.91015864120004
749,Portugal,2018,36005.681,29.2,77.202,79.3333333333,29861.0,80.5291165607,81.5,6.6892248894,3.5714898783,88.3470438073,491.8007851482
750,Portugal,2019,37404.247,25.8,78.031,79.3333333333,30877.0,80.7683139507,81.9,6.786230359966667,3.2796325213,88.3470438073,487.99808886115
751,Portugal,2020,37661.36,20.7,77.156,82.0,30209.0,80.1442472073,81.5,6.883235830533334,2.5927215329,87.2113910813,484.19539257409997
752,Portugal,2021,38404.49,20.9,78.853,82.0,31345.0,80.9963815719,81.5,6.9802413011,3.0939537774,87.2113910813,480.39269628705
753,Portugal,2022,37961.497,23.3,80.426,82.0,31681.0,81.2445985561,81.8,6.9661353879,3.0341153363,87.2113910813,476.59
754,Portugal,2023,38958.113,23.6,81.018,80.5,32153.0,81.9609828711,82.5,7.0631781497,2.6593823232,88.2337907429,
755,Portugal,2024,40002.449,21.8,81.578,80.5,34165.0,82.4066813813,,7.2557314635,2.5775494954,88.2337907429,
759,Romania,2007,,50.5,68.054,60.5,12232.0,71.3334943802,73.1,,3.3777172159,77.5236977986,
760,Romania,2008,,47.6,68.079,56.5,14306.0,73.6318362144,73.5,,2.5117134477,75.04249054350001,
761,Romania,2009,,48.6,67.327,52.5,13514.0,70.8396495511,73.7,,2.5306571566,72.5612832884,
762,Romania,2010,,49.0,68.181,52.5,13554.0,73.9514705158,73.7,,2.5117518905,72.5612832884,
763,Romania,2011,,48.9,67.204,56.3333333333,13726.0,72.7755050377,74.4,,3.0739393351,73.4558061734,
764,Romania,2012,,50.0,68.107,56.3333333333,13822.0,74.0339239549,74.4,,3.1320077295,73.4558061734,
765,Romania,2013,,51.0,67.847,56.3333333333,13656.0,77.1701944172,75.1,7.133232048,3.3384306715,73.4558061734,
766,Romania,2014,,48.5,68.77,56.3333333333,13918.0,75.992408435,75.0,7.17590535732,2.9080121492,77.1925937576,
767,Romania,2015,,45.6,68.644,56.3333333333,14865.0,74.9958186098,74.9,7.21857866664,3.0901059464,77.1925937576,
768,Romania,2016,,44.1,69.245,56.3333333333,16065.0,76.3054920237,75.2,7.26125197596,3.0464541076,77.1925937576,
769,Romania,2017,,37.4,71.538,63.6666666667,18131.0,75.6189249309,75.2,7.30392528528,2.1098640977,81.4992707409,
770,Romania,2018,,36.0,72.623,63.6666666667,18750.0,75.834880222,75.3,7.3465985946,1.9150863521,81.4992707409,
771,Romania,2019,,32.0,73.759,63.6666666667,21547.0,77.4460009976,75.6,7.462265991633333,1.7110895296,81.4992707409,
772,Romania,2020,,35.9,73.522,67.3333333333,21470.0,77.8179793996,74.2,7.577933388666667,1.5455656031,83.512942715,
773,Romania,2021,,29.0,69.833,67.3333333333,22248.0,76.8740143143,72.8,7.6936007857,2.0573461964,83.512942715,
774,Romania,2022,,26.0,71.724,67.3333333333,22418.0,75.3270739586,75.1,7.6600869926,2.1730404212,83.512942715,
775,Romania,2023,,27.7,71.867,66.0,23092.0,,76.4,7.7346323615,2.16429126,80.7845234596,
779,Slovak Republic,2006,25845.462,34.9,68.987,47.0,18251.0,68.5257336785,74.5,,9.7461813089,93.3045389041,466.3497688372
780,Slovak Republic,2007,27434.759,30.6,69.982,47.5,20015.0,69.1372924296,74.6,,7.8183522256,92.378037015575,470.04763005809997
781,Slovak Republic,2008,27714.633,35.0,72.106,48.0,21326.0,68.9401239992,74.9,,6.334755006,91.45153512705,473.745491279
782,Slovak Republic,2009,28660.257,31.6,69.985,48.5,21655.0,69.8134749544,75.3,,6.1565675777,90.525033238525,477.4433524999
783,Slovak Republic,2010,29920.694,31.9,68.434,49.0,22169.0,70.4178204464,75.6,,8.5489082674,89.59853135,472.5512458767
784,Slovak Republic,2011,29656.066,30.4,68.768,57.3333333333,21611.0,69.8071090092,76.1,,8.7410975263,88.9289947911,467.6591392535
785,Slovak Republic,2012,29283.472,33.5,68.849,57.3333333333,21476.0,70.2286465428,76.3,,8.9208557321,88.9289947911,462.7670326303
786,Slovak Republic,2013,29511.472,36.6,68.672,57.3333333333,21403.0,70.6256247352,76.6,6.9514383993,9.4949452785,88.9289947911,459.34946737916664
787,Slovak Republic,2014,30100.992,33.9,69.397,60.0,21913.0,70.2945068639,77.0,6.97455107692,8.825727124,91.479696928,455.93190212803336
788,Slovak Republic,2015,31285.978,32.7,70.904,60.0,23081.0,71.7374219479,76.7,6.99766375454,7.1856393181,91.479696928,452.5143368769
789,Slovak Republic,2016,32277.78,29.6,72.815,60.0,23714.0,71.6212415408,77.3,7.02077643216,5.4931695609,91.479696928,454.3375469151
790,Slovak Republic,2017,33232.174,26.2,73.751,65.6666666667,24432.0,72.3356950919,77.3,7.043889109779999,4.8200341193,89.9163150938,456.1607569533
791,Slovak Republic,2018,34174.491,25.4,75.041,65.6666666667,26158.0,73.5588684588,77.4,7.0670017874,3.8363308468,89.9163150938,457.9839669915
792,Slovak Republic,2019,35290.917,28.3,76.248,65.6666666667,26939.0,73.5387106083,77.8,7.087078430266667,3.2079004019,89.9163150938,455.202975243625
793,Slovak Republic,2020,35748.465,28.7,75.463,72.6666666667,27372.0,73.0262750555,77.0,7.107155073133333,3.0474951416,94.8975907718,452.42198349575
794,Slovak Republic,2021,36557.14,26.6,78.024,72.6666666667,28292.0,72.9879639639,74.6,7.127231716,3.9137888453,94.8975907718,449.640991747875
795,Slovak Republic,2022,34643.779,27.7,80.04,72.6666666667,27985.0,71.5914810008,77.0,7.0444166963,4.1358330045,94.8975907718,446.86
796,Slovak Republic,2023,34562.22,30.3,80.709,67.5,27823.0,72.8820507299,78.2,7.2861273274,3.8704052449,93.5706009141,
797,Slovak Republic,2024,36105.364,28.7,81.324,67.5,28344.0,73.0559509443,,7.2987172383,3.5303079746,93.5706009141,
800,Slovenia,2006,45668.196,24.3,73.772,79.0,24803.0,81.4399428967,78.3,,3.0026340056,92.9882769204,494.4090368826
801,Slovenia,2007,46661.884,20.2,74.441,79.66666666666667,25641.0,81.3061230527,78.4,,2.2654195961,92.24674846766666,490.6333719749333
802,Slovenia,2008,47434.116,26.1,75.169,80.33333333333333,26216.0,81.4853941566,79.1,,1.8822407,91.50522001493333,486.8577070672667
803,Slovenia,2009,47897.977,25.7,74.328,81.0,25845.0,80.7562632176,79.4,,1.8062003245,90.7636915622,483.0820421596
804,Slovenia,2010,49258.775,28.6,72.712,81.0,25635.0,79.7926066204,79.8,,3.2100434061,90.7636915622,482.49345594483333
805,Slovenia,2011,49094.396,29.5,70.846,83.3333333333,25601.0,79.940964494,80.1,,3.6874299924,92.1647438201,481.90486973006665
806,Slovenia,2012,47523.031,28.5,70.969,83.3333333333,24572.0,79.7382451519,80.3,,4.3076462905,92.1647438201,481.3162835153
807,Slovenia,2013,46973.509,33.1,69.985,83.3333333333,24104.0,80.1544129372,80.5,6.9515327869,5.2413537785,92.1647438201,489.2828158680333
808,Slovenia,2014,47812.342,30.6,70.398,85.0,24280.0,80.39994007,81.2,7.01083177492,5.3965286773,90.5177601254,497.24934822076665
809,Slovenia,2015,48736.662,28.7,71.383,85.0,24871.0,80.8201633433,80.9,7.07013076294,4.7629104497,90.5177601254,505.2158805735
810,Slovenia,2016,50550.525,25.9,72.232,85.0,25971.0,80.9045041,81.2,7.12942975096,4.3166677224,90.5177601254,501.9257921025667
811,Slovenia,2017,51713.13,22.6,75.118,89.3333333333,26797.0,81.3721454713,81.2,7.18872873898,3.1634885357,93.632946031,498.6357036316333
812,Slovenia,2018,52643.212,20.5,77.187,89.3333333333,27838.0,81.7763699451,81.5,7.248027727,2.2329200167,93.632946031,495.3456151607
813,Slovenia,2019,54122.774,17.4,78.381,89.3333333333,28973.0,81.877092392,81.6,7.375240902866667,1.9340992213,93.632946031,488.644211370525
814,Slovenia,2020,55726.116,17.0,78.289,90.0,30194.0,82.6595978418,80.6,7.502454078733334,1.9534238017,94.7545209559,481.94280758035
815,Slovenia,2021,58106.435,11.5,78.985,90.0,31425.0,82.6835245632,80.7,7.6296672546,1.8713680251,94.7545209559,475.241403790175
816,Slovenia,2022,55930.334,14.2,80.587,90.0,31535.0,82.2837944037,81.3,7.5836058625,1.5624345906,94.7545209559,468.54
817,Slovenia,2023,58531.994,14.5,79.755,87.5,31599.0,83.2008475339,82.0,7.7353877821,1.3600859642,93.4415068753,
842,Spain,2006,50946.93,30.9,70.242,64.5,34785.0,80.5672602057,81.1,,1.8393892681,95.1787272546,460.8301120718
843,Spain,2007,51498.848,28.0,71.081,64.5,34868.0,79.9223481827,81.1,,1.6877297405,95.1787272546,467.5675167105
844,Spain,2008,53318.729,31.9,69.974,65.3333333333,35061.0,79.8223140546,81.5,,2.035859851,93.2760440053,474.3049213492
845,Spain,2009,56675.193,34.0,65.929,65.3333333333,35162.0,79.2846136807,81.9,,4.2756750679,93.2760440053,481.0423259879
846,Spain,2010,56137.603,33.8,64.986,65.3333333333,34587.0,78.4302358721,82.4,,7.3138989478,93.2760440053,483.34127785366667
847,Spain,2011,55135.424,29.0,64.372,73.6666666667,34017.0,77.9543005453,82.6,,8.9501733329,93.1177734682,485.64022971943336
848,Spain,2012,53590.706,34.7,62.231,73.6666666667,31784.0,76.6325735824,82.5,,11.063375361,93.1177734682,487.9391815852
849,Spain,2013,53598.418,38.8,61.31,73.6666666667,31480.0,76.5145005094,83.2,6.8805823872,13.0270120227,93.1177734682,490.48493282366667
850,Spain,2014,53430.788,39.1,62.661,83.3333333333,31559.0,76.5885329703,83.3,6.97034017064,12.9815403076,94.7827313344,493.03068406213333
851,Spain,2015,54228.251,35.2,64.642,83.3333333333,32879.0,77.4075256084,83.0,7.06009795408,11.4457899111,94.7827313344,495.5764353006
852,Spain,2016,53926.995,35.6,66.604,83.3333333333,33625.0,77.6408435904,83.5,7.14985573752,9.5502113507,94.7827313344,492.5383731148
853,Spain,2017,53224.488,25.1,68.097,81.3333333333,34112.0,77.6698621755,83.4,7.23961352096,7.7083398867,91.6868047278,489.500310929
854,Spain,2018,53084.228,27.1,69.522,81.3333333333,34536.0,77.8231713934,83.5,7.3293713044,6.4025179992,91.6868047278,486.4622487432
855,Spain,2019,53700.459,22.0,70.609,81.3333333333,35533.0,78.5466472476,84.0,7.283615659566667,5.3688895787,91.6868047278,483.4241865574
856,Spain,2020,53463.182,22.8,68.663,80.3333333333,34875.0,79.0888885992,82.3,7.237860014733333,5.0202611796,93.1459859007,480.3861243716
857,Spain,2021,55356.659,21.6,70.294,80.3333333333,35908.0,78.7785042521,83.3,7.1921043699,6.2744124292,93.1459859007,477.3480621858
858,Spain,2022,53954.498,22.1,72.001,80.3333333333,35108.0,78.6297342333,83.2,7.1268416488,5.1314062902,93.1459859007,474.31
859,Spain,2023,54459.604,22.6,73.338,81.5,36537.0,80.1848418285,84.0,7.2269001128,4.2932275096,92.1724430822,
863,Sweden,2006,50273.23,8.3,80.921,71.0,34935.0,78.2243881704,81.0,,0.9129825703333334,92.7643960522,507.312880171
864,Sweden,2007,51961.973,7.6,82.02,71.0,36236.0,78.5949787868,81.1,,0.7533419084,92.7643960522,504.02506122643337
865,Sweden,2008,52957.345,9.9,82.382,71.0,36933.0,78.9281005656,81.3,,0.7191247202,92.0447340512,500.73724228186666
866,Sweden,2009,53136.007,8.8,80.866,71.0,37323.0,78.8159034966,81.5,,1.0304831282,92.0447340512,497.4494233373
867,Sweden,2010,53787.945,8.3,80.719,71.0,37933.0,78.7046984136,81.6,,1.4095170424,92.0447340512,492.74461745163336
868,Sweden,2011,54613.811,9.5,81.971,79.0,38655.0,79.2292327862,81.9,,1.3327921619,91.1209847234,488.03981156596666
869,Sweden,2012,55767.103,8.4,82.314,79.0,39566.0,79.9523091991,81.8,,1.2931661745,91.1209847234,483.3350056803
870,Sweden,2013,56389.216,7.7,82.626,79.0,39850.0,80.0686061168,82.0,7.9074822893,1.2506608816,91.1209847234,488.94187265243335
871,Sweden,2014,57017.496,7.9,82.769,76.0,40228.0,80.1337537448,82.3,7.88529918232,1.2144491946,91.8442617845,494.5487396245667
872,Sweden,2015,57866.957,7.1,83.11,76.0,40794.0,80.1495086697,82.2,7.86311607534,1.1642953257,91.8442617845,500.1556065967
873,Sweden,2016,58772.062,7.6,83.591,76.0,41798.0,80.3930357671,82.4,7.84093296836,1.0640580628,91.8442617845,502.03214455933335
874,Sweden,2017,59097.301,7.0,84.133,76.3333333333,41842.0,80.362757743,82.5,7.81874986138,0.9961086811,92.2745474807,503.9086825219667
875,Sweden,2018,59392.321,8.0,84.686,76.3333333333,41831.0,80.1760558439,82.6,7.7965667544,0.8085158237,92.2745474807,505.7852204846
876,Sweden,2019,60019.439,7.6,84.46,76.3333333333,42069.0,80.2115925562,83.2,7.729218535666666,0.7501319884,92.2745474807,501.08391536345005
877,Sweden,2020,60782.828,7.4,83.326,80.6666666667,41323.0,79.7042212412,82.4,7.661870316933333,0.9004638433,93.8173603759,496.3826102423
878,Sweden,2021,62240.011,7.4,82.641,80.6666666667,42765.0,79.5403392335,83.1,7.5945220982,1.4469323159,93.8173603759,491.68130512115
879,Sweden,2022,60566.698,7.2,84.12,80.6666666667,42704.0,80.1453286265,83.1,7.5102990697,1.5305434664,93.8173603759,486.98
880,Sweden,2023,59058.071,9.3,84.661,80.0,42089.0,81.0570033636,83.4,7.46415539,1.3170930931,92.1421392541,
881,Sweden,2024,60415.321,9.9,84.235,80.0,42260.0,,,7.4497328467,1.3757613565,92.1421392541,
884,Switzerland,2006,78428.306,,81.019,77.0,43636.0,78.9349412157,81.8,,1.564633938,94.1934326462,499.2777837981
885,Switzerland,2007,79355.894,8.1,81.976,76.66666666666667,44904.0,79.3316550916,82.0,8.22,1.4908280969,93.8483459731,499.6852597806667
886,Switzerland,2008,79783.509,8.567,83.133,76.33333333333333,44985.0,78.9071004066,82.3,8.128,1.1496931142,93.5032593,500.09273576323335
887,Switzerland,2009,81197.456,11.641,82.72,76.0,45257.0,79.1291999652,82.3,8.143,1.2515382908,93.1581726269,500.5002117458
888,Switzerland,2010,80823.349,11.311,80.43,76.66666666666667,45676.0,78.8504830485,82.7,8.152,1.726881543,93.57017689313334,503.34689106813335
889,Switzerland,2011,81342.649,12.829,81.525,77.33333333333333,45817.0,78.8010526628,82.8,8.151,1.7753509702,93.98218115936666,506.1935703904667
890,Switzerland,2012,82526.691,11.966,81.96,78.0,46491.0,78.8401802763,82.8,8.201,1.6601005131,94.3941854256,509.0402497128
891,Switzerland,2013,83599.467,11.876,81.761,80.83333333335,47206.0,79.0305431914,82.9,8.047416135,1.6127863326,94.1945377523,503.42624266983336
892,Switzerland,2014,83762.274,12.3,82.172,83.6666666667,47426.0,79.1118992872,83.3,8.018,1.8863823553,93.994890079,497.81223562686665
893,Switzerland,2015,84264.574,11.2,82.741,83.6666666667,47635.0,78.9285266498,83.0,7.949,1.9103128973,93.994890079,492.1982285839
894,Switzerland,2016,83965.905,12.7,82.997,83.6666666667,47842.0,78.8141296282,83.7,7.953,1.9650692376,93.994890079,489.4419541139
895,Switzerland,2017,83569.001,12.0,83.008,87.3333333333,47219.0,78.6300484442,83.7,7.961845982,1.8373156949,93.606401065,486.6856796439
896,Switzerland,2018,83328.535,12.0,83.431,87.3333333333,47192.0,78.5607439,83.8,7.963366268,1.8922741629,93.606401065,483.9294051739
897,Switzerland,2019,84911.132,12.2,84.102,87.3333333333,47798.0,78.5773319116,84.0,8.025741548,1.6809811218,93.606401065,483.779553880425
898,Switzerland,2020,83154.689,10.9,83.734,86.3333333333,49115.0,79.0480361328,83.1,8.078755342,1.6813589643,91.9178578661,483.62970258695
899,Switzerland,2021,86386.832,9.5,83.111,86.3333333333,48967.0,78.5535769252,83.9,7.894695279,2.1419111452,91.9178578661,483.479851293475
900,Switzerland,2022,87339.04,10.0,83.447,86.3333333333,49209.0,78.8792894261,83.7,7.9759560666,1.694775167,91.9178578661,483.33
901,Switzerland,2023,86535.328,9.9,84.134,87.5,48940.0,,84.3,7.8221484851,1.2707705541,91.2504634678,
926,Türkiye,2006,23581.01,59.2,49.635,50.5,,,73.4,,3.7343263203,79.8634462741,447.1411324913
927,Türkiye,2007,24392.658,61.6,49.554,50.5,,,73.7,,3.18671687,79.8634462741,452.8255467682
928,Türkiye,2008,24252.388,58.2,49.762,51.3333333333,,,73.9,,3.0134109537,72.6932139893,458.5099610451
929,Türkiye,2009,24527.374,60.8,49.27,51.3333333333,,78.0628067719,74.1,,3.6227760161,72.6932139893,464.194375322
930,Türkiye,2010,25137.487,58.75,51.516,51.3333333333,,78.2755549261,74.3,,3.4671345586,72.6932139893,467.96007230876666
931,Türkiye,2011,25543.945,56.7,53.55,56.0,,78.7439040812,74.6,,2.6493943447,73.4126505667,471.7257692955333
932,Türkiye,2012,26574.876,58.1,54.216,56.0,,78.8588462343,74.6,,2.3440882002,73.4126505667,475.4914662823
933,Türkiye,2013,27798.209,56.5,54.691,56.0,,79.4829476777,78.0,5.8,2.4204878049,73.4126505667,459.77267504633335
934,Türkiye,2014,28746.408,43.7,54.336,60.3333333333,,80.0601797573,78.0,5.78,2.0838997546,85.6384075972,444.05388381036664
935,Türkiye,2015,29471.369,45.1,54.931,60.3333333333,,80.4519762537,78.0,5.76,2.2232426422,85.6384075972,428.3350925744
936,Türkiye,2016,33097.871,33.1,55.497,60.3333333333,,80.9939972771,78.0,5.74,2.2877929688,85.6384075972,440.7672836123333
937,Türkiye,2017,32475.343,16.2,56.479,59.3333333333,,81.1870440198,78.3,5.72,2.4381711555,82.9640708716,453.19947465026667
938,Türkiye,2018,33061.616,13.6,56.747,59.3333333333,,81.188708847,78.6,5.7,2.5053423729,82.9640708716,465.6316656882
939,Türkiye,2019,35161.578,17.8,54.991,59.3333333333,,81.4717805673,78.3,5.666666666666667,3.2927987914,82.9640708716,463.24374926614996
940,Türkiye,2020,34948.959,22.0,52.508,57.0,,81.1582203926,77.7,5.633333333333333,3.3621811469,80.3521333275,460.85583284409995
941,Türkiye,2021,36232.508,29.9,55.149,57.0,,81.7125887584,77.5,5.6,3.8103674407,80.3521333275,458.46791642205
942,Türkiye,2022,35675.551,34.0,57.623,57.0,,81.120367995,77.3,5.4,2.5525530134,80.3521333275,456.08
947,United Kingdom,2006,60350.978,13.7,75.622,62.5,36441.0,75.0947493606,79.3,,1.2072441648,97.2709451582,495.0835095525
948,United Kingdom,2007,62815.579,13.6,75.76,62.5,37367.0,75.402599198,79.5,,1.2405472544,97.2709451582,494.78300971326667
949,United Kingdom,2008,61138.752,17.0,75.71,66.6666666667,36941.0,75.4264529577,79.6,,1.3892669587,95.5124777428,494.4825098740333
950,United Kingdom,2009,60961.878,16.8,74.596,66.6666666667,37288.0,76.0075758358,80.1,,1.9227711713,95.5124777428,494.1820100348
951,United Kingdom,2010,61224.207,16.4,74.53,66.6666666667,37383.0,75.7480305152,80.4,,2.5483826747,95.5124777428,495.89571178213333
952,United Kingdom,2011,60107.071,16.5,74.399,73.3333333333,36381.0,75.6616942321,80.7,7.42,2.7503914358,93.8450381876,497.6094135294667
953,United Kingdom,2012,59635.157,20.2,75.171,73.3333333333,36991.0,75.3493216864,80.8,7.46,2.8025117845,93.8450381876,499.3231152768
954,United Kingdom,2013,60147.759,21.1,75.942,73.3333333333,37439.0,75.2620038981,80.9,7.51,2.7900534904,93.8450381876,498.8727205641
955,United Kingdom,2014,60339.735,20.3,76.998,77.3333333333,38042.0,75.4217718922,81.1,7.61,2.3040531981,93.2232276365,498.4223258514
956,United Kingdom,2015,61166.958,16.4,77.761,77.3333333333,39863.0,75.6788184294,80.9,7.65,1.6720497088,93.2232276365,497.9719311387
957,United Kingdom,2016,61886.804,16.3,78.184,77.3333333333,39863.0,75.1144896219,81.0,7.68,1.3114596916,93.2232276365,499.95732389106666
958,United Kingdom,2017,62302.379,14.1,79.037,77.6666666667,40013.0,75.2954493887,81.1,7.69,1.1332741389,93.1860380662,501.9427166434333
