Reference area,TIME_PERIOD,life_exp_norm,diff_ends_norm,earnings_norm,disp_income_norm,employment_norm,long_unemp_norm,safe_norm,housing_cost_norm,life_sat_norm,support_norm,reading_norm,L1_phys,L2_safety,L3_belonging,L4_esteem,L5_self_act,wellbeing_index
Czechia,2020,0.7319999999999999,0.879,0.3223590166666666,0.58145,0.8247199999999999,0.9469216614536532,0.7766666666669999,0.9657590365532283,0.7294154010866666,0.941591853132,0.557637629673,0.8054999999999999,0.7363127302234247,0.941591853132,0.7294154010866666,0.557637629673,0.7864624116864961
Czechia,2021,0.6880000000000002,0.886,0.3355971833333333,0.620125,0.8270099999999999,0.9194035574249622,0.7766666666669999,0.9620210120726822,0.72652421866,0.941591853132,0.5560188148365001,0.7870000000000001,0.7401372365829962,0.941591853132,0.72652421866,0.5560188148365001,0.7804670911982691
Czechia,2022,0.76,0.877,0.2936263666666667,0.596975,0.8415600000000001,0.9210344517778241,0.7766666666669999,0.9681945919339577,0.7384856656900001,0.941591853132,0.5544000000000001,0.8185,0.733009512840908,0.941591853132,0.7384856656900001,0.5544000000000001,0.791016028719427
Czechia,2023,0.7960000000000003,0.866,0.2824834166666666,0.60365,0.84788,0.9249907403426354,0.755,0.7985029977705467,0.73781102847,0.929841915738,,0.8310000000000002,0.7020845257966414,0.929841915738,0.73781102847,,
Czechia,2024,,0.858,0.3081417666666667,0.617275,0.8549800000000001,0.9183840646904217,0.755,0.8253871939278409,0.73876211977,0.929841915738,,0.858,0.7131946708808216,0.929841915738,0.73876211977,,
Denmark,2006,0.7360000000000002,0.918,0.7350356,0.6023,0.80354,0.9287794285264145,0.84,0.7128722131361873,,0.959122654345,0.577931924258,0.8270000000000002,0.7704212069437669,0.959122654345,,0.577931924258,
Denmark,2007,0.7360000000000002,0.935,0.7471215166666666,0.59395,0.7974800000000001,0.9505800579710111,0.84,0.7534956294857005,,0.959122654345,0.5785094984096,0.8355000000000001,0.7804378673538963,0.959122654345,,0.5785094984096,
Denmark,2008,0.7519999999999999,0.921,0.7612934833333332,0.590525,0.79914,0.9689511337924297,0.81,0.7814502688007767,,0.952001700882,0.5790870725612001,0.8365,0.7852266476544232,0.952001700882,,0.5790870725612001,
Denmark,2009,0.76,0.908,0.7798991499999999,0.61665,0.7691,0.9634907910759827,0.81,0.7101459388743949,,0.952001700882,0.5796646467128,0.8340000000000001,0.7748809799917296,0.952001700882,,0.5796646467128,
Denmark,2010,0.7719999999999999,0.913,0.7908620166666668,0.6369,0.76005,0.8512293757496516,0.81,0.7791912428105756,,0.952001700882,0.5812842731186667,0.8425,0.771372105871149,0.952001700882,,0.5812842731186667,
Denmark,2011,0.7960000000000003,0.907,0.7846309000000001,0.645575,0.76068,0.8011272218262165,0.7966666666669999,0.770893799002593,,0.9538253102400001,0.5829038995245333,0.8515000000000001,0.7599289312493016,0.9538253102400001,,0.5829038995245333,
Denmark,2012,0.8080000000000002,0.894,0.7842643333333333,0.63915,0.75871,0.7622179917852306,0.7966666666669999,0.8031532422644392,,0.9538253102400001,0.5845235259303999,0.8510000000000001,0.7573603723416671,0.9538253102400001,,0.5845235259303999,
Denmark,2013,0.8160000000000003,0.882,0.7916192166666668,0.638975,0.76044,0.8007813971438354,0.7966666666669999,0.8785435587513694,0.80107682102,0.9538253102400001,0.5894351294236001,0.8490000000000002,0.7778376398714785,0.9538253102400001,0.80107682102,0.5894351294236001,0.8256585008921576
Denmark,2014,0.8280000000000001,0.882,0.8145209333333332,0.64445,0.76388,0.8133944397875374,0.826666666667,0.8614216475440771,,0.952793345626,0.5943467329168,0.855,0.7873889478886579,0.952793345626,,0.5943467329168,
Denmark,2015,0.8319999999999999,0.896,0.8328953166666666,0.676825,0.77235,0.8269232094027948,0.826666666667,0.8162575517503456,,0.952793345626,0.59925833641,0.8639999999999999,0.7919862907478011,0.952793345626,,0.59925833641,
Denmark,2016,0.8360000000000002,0.9,0.8439792666666666,0.70475,0.77917,0.8780609355854856,0.826666666667,0.7827058796211233,,0.952793345626,0.6010121358866668,0.8680000000000001,0.8025554580900459,0.952793345626,,0.6010121358866668,
Denmark,2017,0.8439999999999998,0.906,0.8511017666666667,0.71675,0.78342,0.8726332319352307,0.856666666667,0.7816773130304385,,0.9551022976190001,0.6027659353633332,0.8749999999999999,0.8103748297165559,0.9551022976190001,,0.6027659353633332,
Denmark,2018,0.84,0.907,0.8598667666666666,0.736475,0.7933499999999999,0.9098879694422011,0.856666666667,0.7898845520760216,0.77611020393,0.9551022976190001,0.60451973484,0.8734999999999999,0.8243551591419814,0.9551022976190001,0.77611020393,0.60451973484,0.8443290525680954
Denmark,2019,0.86,0.906,0.8684381166666666,0.7477,0.80068,0.9304002108473869,0.856666666667,0.7848774985372666,0.7661537290566667,0.9551022976190001,0.59218980113,0.883,0.8314604154530533,0.9551022976190001,0.7661537290566667,0.59218980113,0.8472491949642634
Denmark,2020,0.8639999999999998,0.915,0.8854205666666666,0.737475,0.7954399999999999,0.9090080183008047,0.863333333333,0.8646221955185381,0.7561972541833333,0.953014878173,0.57985986742,0.8895,0.8425498523031681,0.953014878173,0.7561972541833333,0.57985986742,0.8496978986059921
Denmark,2021,0.86,0.919,0.8930777,0.75665,0.80741,0.9008691206214313,0.863333333333,0.902764152990038,0.74624077931,0.953014878173,0.56752993371,0.8895,0.8540173844907448,0.953014878173,0.74624077931,0.56752993371,0.8503836099712861
Denmark,2022,0.8519999999999999,0.897,0.8524904833333334,0.75785,0.81999,0.9769674806165554,0.863333333333,0.8374313554933902,0.7627750115999999,0.953014878173,0.5552,0.8744999999999999,0.8513437754627131,0.953014878173,0.7627750115999999,0.5552,0.8454629208922784
Denmark,2023,0.8719999999999999,0.868,0.8577132333333333,0.76855,0.81459,0.9697382596742405,0.875,0.5946651592645185,0.75001238652,0.937617803114,,0.8699999999999999,0.8133761087120156,0.937617803114,0.75001238652,,
Denmark,2024,,0.872,0.9003616166666667,0.773925,0.81527,0.9437849180673907,0.875,0.5625775825792969,0.75845289062,0.937617803114,,0.872,0.811819852885559,0.937617803114,0.75845289062,,
Estonia,2006,0.5280000000000001,0.846,0.07463706666666664,0.226925,0.78392,0.6639269772573922,0.56,0.43196586379500035,,0.854354082154,0.6029990471716,0.687,0.4568958179531765,0.854354082154,,0.6029990471716,
Estonia,2007,0.5280000000000001,0.89,0.14087576666666665,0.26395,0.79232,0.7345393145682337,0.56,0.4202473209800821,,0.854354082154,0.6032818520434666,0.7090000000000001,0.4853220670358304,0.854354082154,,0.6032818520434666,
Estonia,2008,0.5760000000000002,0.888,0.14708735000000003,0.29965,0.79071,0.8091207487059684,0.6,0.1390336648631344,,0.862222084752,0.6035646569153335,0.7320000000000001,0.46426696059485045,0.862222084752,,0.6035646569153335,
Estonia,2009,0.6119999999999999,0.795,0.13548953333333333,0.26175,0.7282,0.5643943684554266,0.6,0.14115764797281483,,0.862222084752,0.6038474617872001,0.7035,0.4051652582935958,0.862222084752,,0.6038474617872001,
Estonia,2010,0.64,0.745,0.13031906666666668,0.24355,0.7003199999999999,0.09083411260351837,0.6016666666665,0.2463720071701111,,0.8697023560195001,0.6242905537441331,0.6925,0.33551030885113264,0.8697023560195001,,0.6242905537441331,
Estonia,2011,0.6639999999999998,0.757,0.11959668333333333,0.2609,0.7338,0.15331619474219127,0.603333333333,0.21265117350290708,,0.877182627287,0.6447336457010667,0.7104999999999999,0.34726623081857194,0.877182627287,,0.6447336457010667,
Estonia,2012,0.6680000000000001,0.759,0.12644798333333335,0.26215,0.74905,0.34919779602483325,0.603333333333,0.40253060903868243,,0.877182627287,0.6651767376580001,0.7135,0.4154516202883081,0.877182627287,,0.6651767376580001,
Estonia,2013,0.7,0.766,0.13773401666666668,0.292625,0.76105,0.5464893047300523,0.603333333333,0.3811419327234653,0.64551335228,0.877182627287,0.6689749651065335,0.733,0.4537289312421973,0.877182627287,0.64551335228,0.6689749651065335,0.676398357750072
Estonia,2014,0.6960000000000002,0.803,0.16369283333333332,0.308075,0.76744,0.609525251861043,0.673333333333,0.39324271160514257,,0.904767209722,0.6727731925550665,0.7495,0.4858848550220865,0.904767209722,,0.6727731925550665,
Estonia,2015,0.72,0.838,0.1869477666666667,0.34375,0.78444,0.7287551971595572,0.673333333333,0.3556791275528236,,0.904767209722,0.6765714200036,0.7789999999999999,0.5121509041186746,0.904767209722,,0.6765714200036,
Estonia,2016,0.72,0.846,0.21351536666666665,0.360975,0.78235,0.7537751897606576,0.673333333333,0.3655274242873816,,0.904767209722,0.68173697116,0.7829999999999999,0.524912719007951,0.904767209722,,0.68173697116,
Estonia,2017,0.7360000000000002,0.857,0.22562351666666666,0.377575,0.7998999999999999,0.7790819075678459,0.7233333333330001,0.35236742554772105,,0.918760315835,0.6869025223163999,0.7965000000000001,0.5429801971858723,0.918760315835,,0.6869025223163999,
Estonia,2018,0.74,0.861,0.26202405,0.426125,0.80428,0.8547941079759526,0.7233333333330001,0.25572408282242964,0.70057674818,0.918760315835,0.6920680734727999,0.8005,0.5543800956885637,0.918760315835,0.70057674818,0.6920680734727999,0.7419567427485649
Estonia,2019,0.76,0.888,0.29161966666666667,0.445325,0.8128700000000001,0.9074521836849166,0.7233333333330001,0.2810595705301142,0.7073553799466666,0.918760315835,0.6800810551045997,0.8240000000000001,0.5769432923691163,0.918760315835,0.7073553799466666,0.6800810551045997,0.7556770162612471
Estonia,2020,0.7560000000000002,0.909,0.3242953333333334,0.466025,0.8070999999999999,0.873008710930539,0.78,0.22130080648052286,0.7141340117133333,0.9348877061020001,0.6680940367364001,0.8325000000000001,0.5786216417907326,0.9348877061020001,0.7141340117133333,0.6680940367364001,0.7621515560125952
Estonia,2021,0.6880000000000002,0.922,0.36115698333333335,0.495075,0.81002,0.8202904842320478,0.78,0.3048877537907203,0.72091264348,0.9348877061020001,0.6561070183682,0.8050000000000002,0.5952383702260169,0.9348877061020001,0.72091264348,0.6561070183682,0.7565352124639604
Estonia,2022,0.7239999999999998,0.905,0.30986793333333335,0.47295,0.83453,0.8596019474035849,0.78,0.6524877558461144,0.71565139309,0.9348877061020001,0.6441199999999999,0.8144999999999999,0.6515729394305054,0.9348877061020001,0.71565139309,0.6441199999999999,0.7723535432488263
Estonia,2023,0.7639999999999998,0.884,0.30233325000000005,0.446575,0.83592,0.8514479534984973,0.84,0.703322410683044,0.71705450094,0.933480595985,,0.8239999999999998,0.6632664356969237,0.933480595985,0.71705450094,,
Finland,2006,0.78,0.92,0.5972025833333333,0.639325,0.7543899999999999,0.7970891082930589,0.79,0.4266110956769359,,0.955803743612,0.7874731252903998,0.8500000000000001,0.667436297883888,0.955803743612,,0.7874731252903998,
Finland,2007,0.7839999999999998,0.924,0.6096375833333333,0.664075,0.76006,0.8287286717693161,0.7775,0.39690660142105993,,0.9471453168535,0.7728193962273331,0.8539999999999999,0.6728179760872849,0.9471453168535,,0.7728193962273331,
Finland,2008,0.7960000000000003,0.919,0.61770005,0.6805,0.76936,0.8787395206121025,0.765,0.3793719094982496,,0.9384868900950001,0.7581656671642668,0.8575000000000002,0.681778580018392,0.9384868900950001,,0.7581656671642668,
Finland,2009,0.8039999999999998,0.9319999999999999,0.6259087999999999,0.683875,0.7519899999999999,0.8513122027276678,0.765,0.38510849330801666,,0.9384868900950001,0.7435119381012,0.8679999999999999,0.6771990826726141,0.9384868900950001,,0.7435119381012,
Finland,2010,0.8080000000000002,0.931,0.63917555,0.707075,0.7462000000000001,0.7778933571776231,0.765,0.42805617231026594,,0.9384868900950001,0.7277035184363999,0.8695000000000002,0.677233346581315,0.9384868900950001,,0.7277035184363999,
