,Reference area,TIME_PERIOD,Adult literacy skills [Points],Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling lonely [Percentage of population aged 16 years or over],Feeling safe at night [Percentage of population aged 15 years or over],Having a say in government [Percentage of population aged 16-65 years],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Self-reported depression [Percentage of population aged 15 years or over],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
471,Israel,2013,,43789.931,,74.518,,64.6666666667,,,,82.1,,0.6964825431,,89.5113687872,
472,Israel,2014,255.23751,44091.88,,75.525,,70.0,,,,82.2,,0.5324596111,,86.5544570827,
473,Israel,2015,255.2375126,45519.095,,76.202,,70.0,,,,82.2,,0.5087424837,,86.5544570827,478.9606426601
474,Israel,2016,,47392.896,,76.611,,70.0,,,,82.5,,0.5314983274,,86.5544570827,
475,Israel,2017,,48888.35,,77.066,,76.6666666667,,,,82.7,,0.3950612683,,91.1989675537,
476,Israel,2018,,50463.154,,77.495,,76.6666666667,,,,82.9,,0.2241692086,,91.1989675537,470.4151779885
477,Israel,2019,,51594.618,,77.695,,76.6666666667,,,,82.9,,0.1770159179,,91.1989675537,
478,Israel,2020,,51659.105,,76.175,,79.6666666667,,,,82.7,,0.1816957556,,93.3354662083,
479,Israel,2021,,54409.394,,75.711,,79.6666666667,,,,82.6,8.029399,0.3833174058,,93.3354662083,
480,Israel,2022,,54890.211,,78.583,,79.6666666667,,,,82.8,,0.2635524561,,93.3354662083,473.83
481,Israel,2023,244.8899461,54854.049,,78.911,,69.5,,,,83.8,,0.1815305324,,92.8676022961,
482,Israel,2024,,54736.243,,78.423,,69.5,,,,,,0.1841044854,,92.8676022961,
483,Italy,2004,,53082.932,34.2,63.264,,,,41130.0,80.24123828,80.9,,3.8452179436,,,
484,Italy,2005,,53804.76,34.8,63.429,,,,41044.0,79.9382420834,80.9,,3.7656278712,,,
485,Italy,2006,,54145.431,35.7,64.403,,60.0,,41192.0,79.8059956956,81.4,,3.3239889218,,90.7056120903,468.5231087273
486,Italy,2007,,54117.354,37.7,64.762,,60.0,,41366.0,79.7546000954,81.6,,2.8903667945,,90.7056120903,
487,Italy,2008,,54044.753,38.9,64.891,,59.0,,40405.0,79.2677222992,81.7,,3.0758680133,,86.3715472108,
488,Italy,2009,,54458.768,37.3,63.878,,59.0,,39460.0,78.5824947788,81.8,,3.4932345427,,86.3715472108,486.051098758
489,Italy,2010,,54924.154,37.7,63.367,,59.0,,38619.0,77.9224083868,82.2,,4.0907793909,,86.3715472108,
490,Italy,2011,,54047.93,38.0,63.583,,60.0,,38186.0,77.7940465187,82.4,,4.3743260442,,89.2446433188,
491,Italy,2012,250.4826646,52332.384,40.1,63.543,,60.0,,36070.0,76.8539283608,82.4,,5.7000893417,,89.2446433188,489.7544033438
492,Italy,2013,,52503.553,41.5,62.635,,60.0,,35696.0,76.6675817546,82.9,6.5883967089,6.9747360921,,89.2446433188,
493,Italy,2014,,52707.893,40.2,62.917,,58.3333333333,,35925.0,76.9393406849,83.2,,7.8694492225,4.3,90.8181022992,
494,Italy,2015,,53164.084,37.9,63.583,,58.3333333333,,36393.0,76.7492136338,82.7,,7.0701368455,,90.8181022992,484.7579960762
495,Italy,2016,,53589.312,33.3,64.499,,58.3333333333,,36745.0,76.9425483872,83.4,,6.8838531957,,90.8181022992,
496,Italy,2017,,53246.292,28.1,65.27,,63.3333333333,,37142.0,77.1074225844,83.1,,6.6580493694,,88.5239301508,
497,Italy,2018,,53306.5,30.3,65.917,5.6587720148,63.3333333333,,37333.0,77.0677663153,83.4,7.0245963012,6.2830465717,,88.5239301508,476.2846792907
498,Italy,2019,,53572.199,22.9,66.413,,63.3333333333,,37341.0,77.0088300102,83.6,,5.6940970835,4.2,88.5239301508,
499,Italy,2020,,51015.812,23.8,65.501,,70.3333333333,,36594.0,77.1706580552,82.3,,4.9295090796,,88.1114865579,
500,Italy,2021,,53317.266,24.3,65.622,,70.3333333333,,38091.0,77.268420099,82.7,7.1742196143,5.5127360206,,88.1114865579,
501,Italy,2022,,51949.802,22.3,67.547,5.3138337983,70.3333333333,,38090.0,76.406078987,82.8,7.173981706,4.7109695431,,88.1114865579,481.6
502,Italy,2023,245.7274115,50514.489,18.7,69.066,,62.0,22.339745,38302.0,77.4318932212,83.5,7.2266878923,4.2744024419,,85.9452943752,
503,Italy,2024,,51018.982,18.7,70.054,,62.0,,38696.0,,,7.2126833549,3.3395433693,,85.9452943752,
504,Japan,2004,,49163.656,,74.632,,,,29909.0,78.8863942857,82.1,,1.6527124183,,,
505,Japan,2005,,50397.427,,75.014,,,,30445.0,78.5886052486,82.0,,1.5403333333,,,
506,Japan,2006,,50222.681,,75.624,,62.5,,30870.0,78.4760386249,82.4,,1.412462963,,93.0322244008,497.9570687451
507,Japan,2007,,50390.78,,76.373,,62.5,,31220.0,78.488862573,82.6,,1.2956639676,,93.0322244008,
508,Japan,2008,,50164.902,,76.389,,68.6666666667,,30912.0,78.0276269718,82.7,,1.386,,88.7948377336,
509,Japan,2009,,49529.637,,75.766,,68.6666666667,,31137.0,77.9956871598,83.0,,1.5031196319,,88.7948377336,519.8577223567
510,Japan,2010,,49375.434,,75.915,,68.6666666667,,31591.0,77.793123615,82.9,,1.9901118012,,88.7948377336,
511,Japan,2011,,49616.592,,76.046,,71.6666666667,,31747.0,77.8945380564,82.7,,1.8730510949,,90.8085738508,
512,Japan,2012,296.2422519,49644.884,,76.388,,71.6666666667,,32200.0,77.7521315638,83.2,,1.7543381295,,90.8085738508,538.0514848184
513,Japan,2013,,49936.622,,77.544,,71.6666666667,,32414.0,77.4090005213,83.4,,1.7529182879,,90.8085738508,
514,Japan,2014,,49496.878,,78.66,,70.3333333333,,32006.0,77.2907587859,83.7,,1.4146812227,,89.6587216049,
515,Japan,2015,,49205.864,,79.408,,70.3333333333,,32399.0,78.0882864343,83.9,,1.2497383178,,89.6587216049,515.9584799072
516,Japan,2016,,49740.502,,80.418,,70.3333333333,,32907.0,78.6116222638,84.1,,1.29323,,89.6587216049,
517,Japan,2017,,49777.928,,81.532,,74.3333333333,,33187.0,78.6341750082,84.2,,1.0833333333,,87.6699310489,
518,Japan,2018,,50604.706,,82.791,,74.3333333333,,33449.0,78.7648986034,84.3,,0.8208639053,,87.6699310489,503.8560409596
519,Japan,2019,,51098.125,,83.463,,74.3333333333,,33956.0,79.2391019619,84.4,5.78,0.7945341615,,87.6699310489,
520,Japan,2020,,50712.225,,83.261,,77.0,,35311.0,79.9139741146,84.6,5.83,0.8297724868,,89.0437500949,
521,Japan,2021,,51137.748,,83.62,4.5,77.0,28.563025,34665.0,79.2684823087,84.5,5.74,1.0634010695,,89.0437500949,
522,Japan,2022,,50458.369,,84.372,4.9,77.0,,34582.0,78.9997153036,84.1,5.76,0.976,,89.0437500949,515.85
523,Japan,2023,290.7199825,49173.069,,84.754,4.8,77.5,,34068.0,79.0786166133,84.1,5.79,0.9116647059,,85.9042592629,
524,Japan,2024,,49445.911,,85.145,,77.5,,,,,5.89,0.8007873563,,85.9042592629,
525,Korea,2004,,39625.005,,71.301,,,,20509.0,81.8639528779,77.8,,0.0426233312,,,
526,Korea,2005,,40847.315,,71.224,,,,20948.0,81.6757656958,78.2,,0.0317979017,,,
527,Korea,2006,,41373.508,,71.735,,60.5,,21636.0,81.8121490314,78.8,,0.0397152258,,78.1062597335,556.0219102574
528,Korea,2007,,42268.439,,72.013,,60.5,,22583.0,82.3554806685,79.2,,0.0194369941,,78.1062597335,
529,Korea,2008,,42142.402,,72.112,,59.0,,23201.0,82.972406649,79.6,,0.0145507735,,77.7654604368,
530,Korea,2009,,42361.053,,71.165,,59.0,,23279.0,83.2372861936,80.0,,0.0195842093,,77.7654604368,539.2674838628
531,Korea,2010,,43026.011,,71.581,,59.0,,24217.0,83.263805208,80.2,,0.0119071808,,77.7654604368,
532,Korea,2011,,43590.135,,72.215,,59.3333333333,,24611.0,83.3387362718,80.6,,0.0137143188,,78.1775241036,
533,Korea,2012,272.5627635,42949.364,,72.557,,59.3333333333,,25100.0,83.314552706,80.9,,0.0099467248,,78.1775241036,535.7904901084
534,Korea,2013,,44034.29,,72.959,,59.3333333333,,25886.0,83.3686927289,81.4,5.7,0.0127422068,,78.1775241036,
535,Korea,2014,,44125.622,,73.708,,64.0,,26798.0,83.6775339813,81.8,5.7,0.008082774,,75.9354736044,
536,Korea,2015,,45352.307,,73.816,,64.0,,28164.0,84.3160020631,82.1,5.8,0.0136227189,,75.9354736044,517.4367097051
537,Korea,2016,,46681.35,,73.859,,64.0,,28569.0,84.2461253643,82.4,5.9,0.0353629248,,75.9354736044,
538,Korea,2017,,47779.484,,74.22,,72.3333333333,,28808.0,84.1978489591,82.7,6.0,0.0492926234,,78.8015648727,
539,Korea,2018,,49425.225,,74.053,,72.3333333333,,29656.0,84.2765313809,82.7,6.1,0.0535102041,,78.8015648727,514.0522882434
540,Korea,2019,,51122.939,,73.972,,72.3333333333,,30801.0,84.6511340639,83.3,6.0,0.0349203648,,78.8015648727,
541,Korea,2020,,52298.597,,72.78,,81.0,,31656.0,84.6107436202,83.5,6.0,0.0245001354,,80.2707556331,
542,Korea,2021,,52412.095,,72.996,,81.0,55.06285,32197.0,84.7431137031,83.6,6.3,0.0445772938,,80.2707556331,
543,Korea,2022,,50671.795,,74.832,,81.0,,32644.0,85.0121293534,82.7,6.5,0.0299437973,,80.2707556331,515.42
544,Korea,2023,249.6052567,50313.68,,75.724,,78.0,38.65404,,84.8316980903,83.5,,0.024646999,,79.0464040614,
545,Korea,2024,,50946.72,,76.066,,78.0,,,,,,0.0191038251,,79.0464040614,
546,Latvia,2004,,18196.491,,69.902,,,,13374.0,85.2180817656,70.9,,5.0246061026,,,
547,Latvia,2005,,21165.693,52.1,70.884,,,,14949.0,85.5614983021,70.6,,4.5281524397,,,
548,Latvia,2006,,23338.073,46.8,74.92,,47.0,,17427.0,84.4707390426,70.6,,2.4431987374,,82.4862754,479.4918354322
549,Latvia,2007,,28773.98,39.9,76.968,,47.0,,19073.0,83.6493473056,70.8,,1.6763112978,,82.4862754,
550,Latvia,2008,,29681.996,39.8,77.275,,48.5,,19897.0,83.9150457464,72.1,,1.925350901,,80.0195591047,
551,Latvia,2009,,26801.812,48.0,69.51,,48.5,,16750.0,82.7574247828,72.8,,4.6306997875,,80.0195591047,483.9601454348
552,Latvia,2010,,25768.008,56.0,67.217,,,,16465.0,81.6038251422,73.1,,8.9147935442,,,
553,Latvia,2011,,24870.688,57.0,69.462,,54.0,,16111.0,81.1512509874,73.9,,9.005468239,,81.2806697292,
554,Latvia,2012,,25876.373,52.1,70.862,,54.0,,16972.0,80.6231798758,74.1,,7.9889432838,,81.2806697292,488.6944140807
555,Latvia,2013,,27119.293,54.4,72.501,,54.0,,17592.0,80.8437535277,74.3,6.4682794765,5.8809940597,,81.2806697292,
556,Latvia,2014,,28938.041,49.0,72.927,,61.0,,18414.0,80.8490179167,74.5,,4.8382381253,4.7,85.848933225,
557,Latvia,2015,,31375.186,42.7,74.384,,61.0,,19540.0,81.6931797785,74.8,,4.5751536659,,85.848933225,487.7580985436
558,Latvia,2016,,33233.557,39.3,75.133,,61.0,,20597.0,82.1536313198,74.9,,4.1168135739,,85.848933225,
559,Latvia,2017,,34420.115,40.5,76.435,,60.0,,21521.0,82.8762066376,74.9,,3.3588096804,,88.054046084,
560,Latvia,2018,,35685.662,32.1,78.226,5.927276851,60.0,,22630.0,83.1846247278,75.1,6.7377044739,3.1587697696,,88.054046084,478.6986741576
561,Latvia,2019,,37147.565,25.0,79.009,,60.0,,22975.0,83.5793022666,75.7,,2.4742625261,5.6,88.054046084,
562,Latvia,2020,,38610.604,24.2,78.642,,74.6666666667,,23160.0,83.4052404724,75.5,,2.2951564895,,92.9118950524,
563,Latvia,2021,,40614.793,20.1,77.075,,74.6666666667,13.655709,24263.0,83.0734741233,73.1,6.7447419244,2.377046241,,92.9118950524,
564,Latvia,2022,,40273.132,23.9,78.578,6.4406868265,74.6666666667,,23391.0,81.8507796229,74.5,6.8309621773,2.050373596,,92.9118950524,474.57
565,Latvia,2023,,42274.951,24.0,79.089,,74.5,12.102911,24637.0,83.7630761405,75.6,6.8686552316,1.8688984619,,91.9698688846,
566,Latvia,2024,,45566.516,23.3,79.171,,74.5,,,,,6.932122434,2.3389637822,,91.9698688846,
567,Lithuania,2004,,26471.708,,73.243,,,,15707.0,,72.0,,5.641763838,,,
568,Lithuania,2005,,29249.221,30.3,74.604,,,,17239.0,,71.2,,4.4566674534,,,
569,Lithuania,2006,,33489.286,28.7,74.776,,32.0,,19396.0,,71.0,,2.6409415843,,86.7184768881,470.0707556732
570,Lithuania,2007,,35654.716,23.7,76.313,,32.0,,20388.0,,70.7,,1.4021599598,,86.7184768881,
571,Lithuania,2008,,36323.243,25.9,75.29,,33.3333333333,,22411.0,,71.7,,1.2682544573,,81.5170947156,
572,Lithuania,2009,,31626.367,34.4,70.897,,33.3333333333,,20112.0,,72.9,,3.3175437347,,81.5170947156,468.4427344685
573,Lithuania,2010,,31758.434,37.7,68.368,,33.3333333333,,20088.0,,73.3,,7.5289251357,,81.5170947156,
574,Lithuania,2011,,32420.53,35.9,71.126,,43.3333333333,,20489.0,,73.7,,8.1640511689,,83.9769008678,
575,Lithuania,2012,,32964.183,37.5,72.481,,43.3333333333,,20649.0,,74.1,,6.7082453671,,83.9769008678,477.3066119275
576,Lithuania,2013,,34226.743,32.9,73.556,,43.3333333333,,21773.0,,74.1,6.729421373,5.1443357996,,83.9769008678,
577,Lithuania,2014,266.82379,35812.86,29.4,74.993,,51.3333333333,,22408.0,,74.7,,4.8758403063,3.9,85.1337843953,
578,Lithuania,2015,266.8237872,38092.31,28.9,76.405,,51.3333333333,,23548.0,,74.6,,3.9968333346,,85.1337843953,472.4065522199
579,Lithuania,2016,,39942.09,29.6,78.163,,51.3333333333,,25212.0,,74.9,,3.0898839065,,85.1337843953,
580,Lithuania,2017,,42212.131,28.2,78.845,,67.0,,24883.0,,75.8,,2.741720891,,87.7508842128,
581,Lithuania,2018,,44113.004,23.4,80.367,9.332625694,67.0,,26170.0,,76.0,6.3824132637,2.0423182772,,87.7508842128,475.87347969
582,Lithuania,2019,,47083.642,19.0,80.564,,67.0,,27911.0,,76.5,,1.9833238201,5.5,87.7508842128,
583,Lithuania,2020,,49473.525,15.1,79.356,,64.6666666667,,29652.0,82.3366329036,75.2,,2.553981804,,85.6874553675,
584,Lithuania,2021,,52684.642,12.9,79.871,,64.6666666667,,31208.0,82.20292013,74.2,6.9769955556,2.7124145233,,85.6874553675,
585,Lithuania,2022,,49495.171,12.6,80.957,8.9217057424,64.6666666667,,29943.0,80.9704684312,75.8,7.0921493349,2.4121944985,,85.6874553675,471.83
586,Lithuania,2023,238.3978973,50193.51,13.4,80.399,,73.0,,29962.0,81.984237716,77.6,7.188347258,2.3662524287,,87.988591373,
587,Lithuania,2024,,52897.636,11.4,80.994,,73.0,,,,,7.1989364014,2.4123679742,,87.988591373,
588,Luxembourg,2004,,76148.374,6.7,70.353,,,,48701.0,77.5375527098,79.2,,1.0752461599,,,
589,Luxembourg,2005,,76530.278,6.3,71.542,,,,47679.0,77.6331539506,79.6,,1.1888623521,,,
590,Luxembourg,2006,,77569.978,5.5,71.862,,,,48342.0,77.6234018238,79.4,,1.3993505293,,,479.3665415702
591,Luxembourg,2007,,79675.875,6.6,72.74,,,,48938.0,77.6703362984,79.5,,1.1667537155,,,
592,Luxembourg,2008,,79223.593,7.3,71.513,,75.5,,49228.0,77.4535807746,80.7,,1.6383295972,,94.2758165977,
593,Luxembourg,2009,,81692.587,7.6,73.174,,,,50430.0,77.8824813414,80.8,,1.1906182516,,,472.1733866855
594,Luxembourg,2010,,81739.542,8.3,74.222,,75.5,,50466.0,77.7706417076,80.8,,1.3270882002,,94.2758165977,
595,Luxembourg,2011,,82194.267,9.3,73.75,,69.6666666667,,50270.0,77.8502548823,81.1,,1.4217620856,,90.6529759285,
596,Luxembourg,2012,,81359.539,10.2,74.96,,69.6666666667,,50599.0,77.9839448529,81.5,,1.572174015,,90.6529759285,487.8070425543
597,Luxembourg,2013,,82342.673,13.4,74.648,,69.6666666667,,51775.0,78.5799924631,81.9,7.4342386137,1.7950988803,,90.6529759285,
598,Luxembourg,2014,,83690.422,11.9,75.67,,72.0,,51786.0,78.331443932,82.3,,1.6318730679,8.3,91.632275889,
599,Luxembourg,2015,,84159.079,12.4,73.785,,72.0,,51112.0,78.4550634998,82.4,,1.9437047184,,91.632275889,481.4390972999
600,Luxembourg,2016,,83934.204,12.4,73.856,,72.0,,50596.0,78.377825186,82.7,,2.2579103283,,91.632275889,
601,Luxembourg,2017,,84984.027,12.6,74.667,,83.3333333333,,51706.0,78.8208993751,82.1,,2.175014729,,90.0916002532,
602,Luxembourg,2018,,85458.782,12.8,74.901,4.9478242718,83.3333333333,,52409.0,79.204405079,82.3,7.5563322403,1.4058843529,,90.0916002532,469.9853892538
603,Luxembourg,2019,,85635.098,10.5,75.699,,83.3333333333,,53445.0,80.0192587735,82.7,,1.3547306368,8.3,90.0916002532,
604,Luxembourg,2020,,85931.942,12.4,75.541,,,,56236.0,81.2263540008,82.2,,1.7877542373,,,
605,Luxembourg,2021,,90159.966,10.0,77.055,,,33.787987,56075.0,80.8291213148,82.7,7.4221141231,1.7816082401,,,
606,Luxembourg,2022,,89854.533,5.8,78.276,4.8505876493,89.0,,55863.0,81.1334502705,83.0,7.2097825661,1.3161656994,,87.5474810312,
607,Luxembourg,2023,,93059.463,6.1,78.12,,87.0,28.826903,52875.0,81.0330379677,83.4,7.2504849558,1.6635590175,,87.7451684737,
608,Luxembourg,2024,,94446.74,8.5,77.331,,,,,,,7.2028519607,1.6354644978,,,
609,Mexico,2004,,21723.603,,66.617,,,,16522.0,75.1006226348,75.4,,0.0348434518,,,
610,Mexico,2005,,21546.183,,66.652,,,,16519.0,75.012120451,75.2,,0.0647427324,,,
611,Mexico,2006,,21698.447,,67.646,,56.5,,17437.0,75.936382508,75.5,,0.0572509448,,87.8093340468,410.4964548328
612,Mexico,2007,,21469.123,,67.707,,56.5,,17309.0,76.0352285143,75.4,,0.0673099265,,87.8093340468,
613,Mexico,2008,,20972.835,,67.487,,49.0,,17462.0,75.6704610034,75.2,,0.060519267,,86.8046695714,
614,Mexico,2009,,20942.67,,66.972,,49.0,,17233.0,77.4873154975,74.9,,0.0853651065,,86.8046695714,425.2652992598
615,Mexico,2010,,19315.622,,66.722,,49.0,,17363.0,77.4590655722,74.3,,0.1016028492,,86.8046695714,
616,Mexico,2011,,19793.416,,67.199,,50.3333333333,,18436.0,78.825200326,74.8,,0.1072656019,,76.2913565445,
617,Mexico,2012,,19539.082,,68.102,,50.3333333333,,18222.0,79.3944522334,74.9,,0.087068279,,76.2913565445,423.5537618757
618,Mexico,2013,,19963.584,,68.157,,50.3333333333,,18469.0,79.8599608772,75.2,,0.0800113603,,76.2913565445,
619,Mexico,2014,,19825.837,,67.673,,46.0,,18698.0,80.0243594169,75.1,,0.07731274,,80.0744137604,
620,Mexico,2015,,20463.008,,68.13,,46.0,,19636.0,81.2945246092,75.1,,0.070347982,,80.0744137604,423.2764792183
621,Mexico,2016,,20027.502,,68.467,,46.0,,19599.0,80.6644906764,74.8,,0.075121465,,80.0744137604,
622,Mexico,2017,221.58141,19870.514,,68.511,,41.0,,19448.0,80.0779341343,74.8,,0.0660014596,,83.3557207193,
623,Mexico,2018,,20213.734,,68.944,,41.0,,19397.0,80.0048154743,74.9,,0.0497443711,,83.3557207193,420.4688923012
624,Mexico,2019,,20570.182,,69.46,,41.0,,19695.0,80.6134584896,74.8,,0.0589792768,,83.3557207193,
625,Mexico,2020,,19801.314,,66.418,,45.0,,18379.0,80.1375770795,68.9,,0.0589143542,,79.7800923281,
626,Mexico,2021,,20366.145,43.4,67.824,,45.0,,19412.0,79.4744364908,68.8,8.4487109972,0.1911041009,,79.7800923281,
627,Mexico,2022,,20606.929,,69.712,,45.0,,18902.0,79.0885395531,75.2,,0.0957427447,,79.7800923281,415.36
628,Mexico,2023,,20835.526,,70.907,,48.0,45.462963,20013.0,81.2448780607,75.3,,0.0646972497,,85.652847825,
629,Mexico,2024,,20422.85,,70.939,,48.0,,,,75.5,,0.0573588067,,85.652847825,
630,Netherlands,2004,,75061.66,,72.673,,,,39183.0,81.0040647508,79.3,,1.9072650102,,,
631,Netherlands,2005,,75061.284,16.9,73.207,,,,38972.0,80.4533014794,79.6,,2.3397959494,,,
632,Netherlands,2006,,74897.943,14.0,74.168,,73.0,,40457.0,80.8839320642,80.0,,2.1247488446,,93.9347651207,506.7469709867
633,Netherlands,2007,,75941.883,10.4,75.865,,73.0,,41109.0,81.1498143068,80.4,,1.6152184334,,93.9347651207,
634,Netherlands,2008,,76402.584,11.0,77.457,,73.0,,41506.0,80.9248610893,80.5,,1.2322927271,,94.3153205423,
635,Netherlands,2009,,79334.372,10.2,77.428,,,,42023.0,81.1246956555,80.9,,1.1003891431,,,508.4037229143
636,Netherlands,2010,,79440.635,12.1,76.938,,73.0,,41917.0,80.9606667505,81.0,,1.3471608031,,94.3153205423,
637,Netherlands,2011,,79184.004,12.5,77.034,,78.6666666667,,41806.0,81.0343248799,81.3,,1.6206116685,,92.979458392,
638,Netherlands,2012,284.0068673,79447.713,12.7,77.357,,78.6666666667,,41358.0,80.507816149,81.2,,1.9313030522,,92.979458392,511.2299653839
639,Netherlands,2013,,79685.527,15.5,76.728,,78.6666666667,,40653.0,79.9633196824,81.4,7.8022760577,2.8793512728,,92.979458392,
640,Netherlands,2014,,79252.486,15.0,76.49,,81.3333333333,,41203.0,80.0973664874,81.8,,3.2824046173,,90.068791606,
641,Netherlands,2015,,80217.997,12.9,77.368,,81.3333333333,,41916.0,79.8773704611,81.6,,3.3931679208,,90.068791606,502.9590511737
642,Netherlands,2016,,80537.957,12.6,78.269,,81.3333333333,,42651.0,80.0060398333,81.7,,2.9128066344,,90.068791606,
643,Netherlands,2017,,79950.742,11.5,79.195,,82.6666666667,,42826.0,80.0201924024,81.8,,2.3114176247,,93.6986763377,
644,Netherlands,2018,,79065.384,10.0,80.442,5.5730100492,82.6666666667,,43840.0,80.1023727255,81.9,7.6955204698,1.775453478,,93.6986763377,484.7837251087
645,Netherlands,2019,,78508.106,10.1,81.39,,82.6666666667,,44730.0,80.3155422274,82.2,,1.3309453693,8.2,93.6986763377,
646,Netherlands,2020,,80227.278,7.5,81.561,,82.6666666667,,45157.0,79.9454018752,81.4,,1.1294865301,,92.8621148364,
647,Netherlands,2021,,79311.801,5.6,82.109,,82.6666666667,34.300382,46033.0,80.2460780173,81.4,7.7317250614,0.8297424696,,92.8621148364,
648,Netherlands,2022,,76238.334,6.9,83.227,5.6587388833,82.6666666667,,45923.0,80.5172049788,81.7,7.664159679,0.6564172006,,92.8621148364,459.24
649,Netherlands,2023,282.3212384,74549.094,7.3,83.828,,82.5,39.003398,46301.0,81.3150518427,81.9,7.5973402106,0.4936211581,,90.9823160781,
650,Netherlands,2024,,75370.097,7.3,83.82,,82.5,,47171.0,81.7623180515,,7.6183944362,0.5094265587,,90.9823160781,
651,New Zealand,2004,,47232.702,,77.843,,,,27735.0,73.7080453646,79.6,,0.4047452876,,,
652,New Zealand,2005,,48031.868,,79.168,,,,28277.0,73.5748380881,79.8,,0.3250816113,,,
653,New Zealand,2006,,48326.759,,79.403,,60.5,,29151.0,73.7253915345,80.1,,0.2517134543,,95.5516369889,521.0326450665
654,New Zealand,2007,,51149.289,,79.838,,60.5,,30623.0,74.3339544401,80.3,,0.1876000036,,95.5516369889,
655,New Zealand,2008,,50555.355,15.4,79.693,,59.5,,29885.0,73.8561326414,80.5,,0.1584835665,,95.6195232847,
656,New Zealand,2009,,51172.793,,78.697,,,,30558.0,74.3579311795,80.7,,0.3648763402,,,520.8800086576
657,New Zealand,2010,,51733.264,16.6,78.436,,59.5,,31035.0,74.4319207067,80.8,,0.5464077025,,95.6195232847,
658,New Zealand,2011,,51694.982,,78.921,,66.0,,31901.0,74.7470848588,81.0,,0.5488042189,,94.4596816058,
659,New Zealand,2012,,52811.673,15.3,78.404,,66.0,,32118.0,74.192887825,81.2,,0.8574585635,,94.4596816058,512.1867932596
660,New Zealand,2013,,52104.127,,79.249,,66.0,,32543.0,73.8105921651,81.4,,0.6436935367,,94.4596816058,
661,New Zealand,2014,280.67288,52307.73,12.2,80.392,3.6,64.6666666667,,32338.0,73.0192875052,81.4,7.8,0.6812358704,,95.3961400923,
662,New Zealand,2015,280.6728804,53250.01,,80.115,,64.6666666667,,33159.0,73.1403369436,81.5,,0.6788258303,,95.3961400923,509.270712618
663,New Zealand,2016,,54984.814,11.2,81.437,6.3,64.6666666667,,34088.0,73.3698715168,81.6,7.8,0.7130231516,,95.3961400923,
664,New Zealand,2017,,55362.023,,82.695,,68.3333333333,,34896.0,73.3328613619,81.7,,0.7467476636,,94.5086496191,
665,New Zealand,2018,,56744.507,10.0,82.974,3.5,68.3333333333,,35995.0,73.4997921889,81.7,7.7,0.5848379052,,94.5086496191,505.7272834164
666,New Zealand,2019,,58453.96,,82.768,,68.3333333333,,37104.0,73.7872919555,82.1,,0.5276395147,,94.5086496191,
667,New Zealand,2020,,59982.433,,82.13,,63.3333333333,,38925.0,74.2401402351,82.3,,0.4074893617,,95.2381826177,
668,New Zealand,2021,,62548.88,8.8,83.232,3.6,63.3333333333,42.752264,39181.0,73.8256210156,82.3,7.7,0.4285716895,,95.2381826177,
669,New Zealand,2022,,61835.637,,84.108,,63.3333333333,,38626.0,73.7610975366,82.0,,0.3861446281,,95.2381826177,500.85
670,New Zealand,2023,259.6184668,61949.652,,84.589,4.0,61.0,43.599899,,,82.0,7.6,0.3617947368,,92.4603485316,
671,New Zealand,2024,,62436.576,,83.916,,61.0,,,,,,0.5134,,92.4603485316,
672,Norway,2004,,57758.464,8.4,79.487,,,,38045.0,81.7167631489,80.1,,0.7612005014,,,
673,Norway,2005,,59426.977,8.7,79.407,,,,40544.0,82.3871192145,80.3,,0.8108820765,,,
674,Norway,2006,,61799.096,8.2,80.635,,85.0,,38331.0,80.6691166,80.6,,0.7758526399,,94.3880486023,484.2925630404
675,Norway,2007,,64542.772,5.9,81.99,,,,39818.0,81.3645844505,80.6,,0.4475968749,,,
676,Norway,2008,,65899.843,6.8,82.79,,81.0,,40490.0,81.4442347088,80.8,,0.3297521591,,93.0990821762,
677,Norway,2009,,66588.673,7.3,82.063,,,,41633.0,82.0375659785,81.0,,0.4990326716,,,503.2300203955
678,Norway,2010,,67461.662,6.0,81.057,,,,42222.0,81.2633894624,81.2,,0.7189167808,,,
679,Norway,2011,,69832.75,7.2,81.265,,,,43100.0,82.0417238612,81.4,,0.7584084443,,,
680,Norway,2012,278.42521,71736.757,6.4,81.547,,87.0,,44145.0,82.3613352748,81.5,,0.6035741712,,92.8064346557,503.9366857769
681,Norway,2013,,73205.926,6.6,81.204,,,,45014.0,82.2860367548,81.8,7.8856053859,0.6954908474,,,
682,Norway,2014,,73536.862,4.7,81.318,,87.6666666667,,45455.0,82.5182333874,82.2,,0.7860442991,6.4,94.1192049359,
683,Norway,2015,,73904.025,5.1,80.662,,87.6666666667,,46882.0,82.6179704166,82.4,,0.9854029405,,94.1192049359,513.1911728377
684,Norway,2016,,72707.21,5.4,80.438,,87.6666666667,,46224.0,82.2270505002,82.5,,1.2351800828,,94.1192049359,
685,Norway,2017,,72524.731,5.7,80.103,,92.6666666667,,46681.0,82.333695359,82.7,,1.1726504385,,94.8537053938,
