Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,96.1853591889,96.1853591889,94.7713258923,94.7713258923,94.7713258923,94.4150057251,94.4150057251,94.4150057251,93.5628795368,93.5628795368,93.5628795368,94.095000821,94.095000821,94.095000821,92.9694706655,92.9694706655,92.9694706655,89.3636183725,
Austria,91.6049182182,91.52884525959999,91.452772301,91.452772301,91.452772301,93.9589030272,93.9589030272,93.9589030272,91.5153156883,91.5153156883,91.5153156883,92.1018243735,92.1018243735,92.1018243735,88.6930648755,88.6930648755,88.6930648755,89.6883561137,
Belgium,92.2557985583,92.2557985583,92.2556829548,92.2556829548,92.2556829548,92.2251127146,92.2251127146,92.2251127146,91.7445894772,91.7445894772,91.7445894772,90.6998144251,90.6998144251,90.6998144251,90.8298792149,90.8298792149,90.8298792149,90.2144180111,
Bulgaria,80.7402042817,81.02380736126666,81.30741044083334,81.5910135204,81.5910135204,83.2793867313,83.2793867313,83.2793867313,89.9007832032,89.9007832032,89.9007832032,93.1428503554,93.1428503554,93.1428503554,91.0492372263,91.0492372263,91.0492372263,,
Canada,95.8496554782,95.04950129005,94.2493471019,94.2493471019,94.2493471019,93.4180978701,93.4180978701,93.4180978701,92.570264414,92.570264414,92.570264414,92.3938938717,92.3938938717,92.3938938717,92.7134402267,92.7134402267,92.7134402267,90.0227637785,
Colombia,89.7299893171,89.7299893171,88.2866642097,88.2866642097,88.2866642097,90.3359269451,90.3359269451,90.3359269451,88.9432781267,88.9432781267,88.9432781267,87.8805038965,87.8805038965,87.8805038965,81.9314673478,81.9314673478,81.9314673478,,
Costa Rica,,,,,,,89.0284994459,89.0284994459,89.2816733214,89.2816733214,89.2816733214,89.5883836454,89.5883836454,89.5883836454,86.4210321799,86.4210321799,,,
Croatia,,,,,,73.3022240196,73.3022240196,73.3022240196,70.2330754015,70.2330754015,70.2330754015,85.3174122583,85.3174122583,85.3174122583,89.8083636042,89.8083636042,89.8083636042,89.8684810641,
Czechia,87.626950868,87.626950868,88.96306104109999,90.2991712142,90.2991712142,88.0513918879,88.0513918879,88.0513918879,88.957207954,88.957207954,88.957207954,90.4900549683,90.4900549683,92.32462014075,94.1591853132,94.1591853132,94.1591853132,92.9841915738,92.9841915738
Denmark,95.9122654345,95.9122654345,95.2001700882,95.2001700882,95.2001700882,95.382531024,95.382531024,95.382531024,95.2793345626,95.2793345626,95.2793345626,95.5102297619,95.5102297619,95.5102297619,95.3014878173,95.3014878173,95.3014878173,93.7617803114,93.7617803114
Estonia,85.4354082154,85.4354082154,86.2222084752,86.2222084752,86.97023560195001,87.7182627287,87.7182627287,87.7182627287,90.4767209722,90.4767209722,90.4767209722,91.8760315835,91.8760315835,91.8760315835,93.4887706102,93.4887706102,93.4887706102,93.3480595985,
Finland,95.5803743612,94.71453168535001,93.8486890095,93.8486890095,93.8486890095,92.7486076417,92.7486076417,92.7486076417,94.6267995812,94.6267995812,94.6267995812,95.1069675182,95.1069675182,95.1069675182,96.7351259488,96.7351259488,96.7351259488,95.4165484539,95.4165484539
France,93.7061317943,93.7061317943,92.7246585146,92.7246585146,92.7246585146,91.985027576,91.985027576,91.985027576,88.3784517666,88.3784517666,88.3784517666,93.1064163906,93.1064163906,93.1064163906,90.77776803,90.77776803,90.77776803,87.1300047697,
Germany,94.0525500406,94.0525500406,92.5068984479,92.5068984479,92.5068984479,93.1468322202,93.1468322202,93.1468322202,91.9690294399,91.9690294399,91.9690294399,89.0081126555,89.0081126555,89.0081126555,89.4213436483,89.4213436483,89.4213436483,89.71993174,89.71993174
Greece,81.4500718594,81.4500718594,82.00495377995,82.5598357005,82.5598357005,78.0013698994,78.0013698994,78.0013698994,82.2602538988,82.2602538988,82.2602538988,80.9771264191,80.9771264191,80.9771264191,83.3448182558,83.3448182558,83.3448182558,81.1864005228,
Hungary,92.4945096757,92.4945096757,89.1585489002,89.1585489002,89.1585489002,88.7436623394,88.7436623394,88.7436623394,84.2019377351,84.2019377351,84.2019377351,91.5134375342,91.5134375342,91.5134375342,93.9115703893,93.9115703893,93.9115703893,94.8834002505,
Iceland,,,97.6250974811,97.379871052675,97.13464462425,96.889418195825,96.6441917674,96.6441917674,97.45267693695,98.2611621065,98.2611621065,97.0228081729,97.0228081729,97.0228081729,97.9361329882,,,,
Ireland,96.4427860781,96.76950719050001,97.0962283029,97.0962283029,97.0962283029,96.2824858586,96.2824858586,96.2824858586,95.7491851696,95.7491851696,95.7491851696,93.9984541606,93.9984541606,93.9984541606,90.506765089,90.506765089,90.506765089,92.0628915,
Israel,,,,,,,,,,,,,,,,93.3354662083,,,
Italy,90.7056120903,90.7056120903,86.3715472108,86.3715472108,86.3715472108,89.2446433188,89.2446433188,89.2446433188,90.8181022992,90.8181022992,90.8181022992,88.5239301508,88.5239301508,88.5239301508,88.1114865579,88.1114865579,88.1114865579,85.9452943752,85.9452943752
Japan,93.0322244008,93.0322244008,88.7948377336,88.7948377336,88.7948377336,90.8085738508,90.8085738508,90.8085738508,89.6587216049,89.6587216049,89.6587216049,87.6699310489,87.6699310489,87.6699310489,89.0437500949,89.0437500949,89.0437500949,85.9042592629,
Korea,78.1062597335,78.1062597335,77.7654604368,77.7654604368,77.7654604368,78.1775241036,78.1775241036,78.1775241036,75.9354736044,75.9354736044,75.9354736044,78.8015648727,78.8015648727,78.8015648727,80.2707556331,80.2707556331,80.2707556331,,
Latvia,82.4862754,82.4862754,80.0195591047,80.0195591047,80.65011441695,81.2806697292,81.2806697292,81.2806697292,85.848933225,85.848933225,85.848933225,88.054046084,88.054046084,88.054046084,92.9118950524,92.9118950524,92.9118950524,91.9698688846,
Lithuania,86.7184768881,86.7184768881,81.5170947156,81.5170947156,81.5170947156,83.9769008678,83.9769008678,83.9769008678,85.1337843953,85.1337843953,85.1337843953,87.7508842128,87.7508842128,87.7508842128,85.6874553675,85.6874553675,85.6874553675,87.988591373,
Luxembourg,,,94.2758165977,94.2758165977,94.2758165977,90.6529759285,90.6529759285,90.6529759285,91.632275889,91.632275889,91.632275889,90.0916002532,90.0916002532,90.0916002532,89.24356051253334,88.39552077186666,87.5474810312,87.7451684737,
Mexico,87.8093340468,87.8093340468,86.8046695714,86.8046695714,86.8046695714,76.2913565445,76.2913565445,76.2913565445,80.0744137604,80.0744137604,80.0744137604,83.3557207193,83.3557207193,83.3557207193,79.7800923281,79.7800923281,79.7800923281,85.652847825,
Netherlands,93.9347651207,93.9347651207,94.3153205423,94.3153205423,94.3153205423,92.979458392,92.979458392,92.979458392,90.068791606,90.068791606,90.068791606,93.6986763377,93.6986763377,93.6986763377,92.8621148364,92.8621148364,92.8621148364,90.9823160781,90.9823160781
New Zealand,95.5516369889,95.5516369889,95.6195232847,95.6195232847,95.6195232847,94.4596816058,94.4596816058,94.4596816058,95.3961400923,95.3961400923,95.3961400923,94.5086496191,94.5086496191,94.5086496191,95.2381826177,95.2381826177,95.2381826177,,
Norway,94.3880486023,93.74356538925,93.0990821762,93.025920296075,92.95275841595,92.879596535825,92.8064346557,93.4628197958,94.1192049359,94.1192049359,94.1192049359,94.8537053938,94.8537053938,94.8537053938,94.1929827814,94.1929827814,94.1929827814,93.9694495133,
Poland,89.4709268751,89.4709268751,91.5959880314,91.5959880314,91.5959880314,89.4263930278,89.4263930278,89.4263930278,88.7031447145,88.7031447145,88.7031447145,83.9307498522,83.9307498522,83.9307498522,90.6514684843,90.6514684843,90.6514684843,88.0135482391,
Portugal,89.6887295719,87.5755037966,85.4622780213,85.4622780213,85.4622780213,84.5661174983,84.5661174983,84.5661174983,86.5324113268,86.5324113268,86.5324113268,88.3470438073,88.3470438073,88.3470438073,87.2113910813,87.2113910813,87.2113910813,88.2337907429,88.2337907429
Romania,,77.5236977986,75.04249054350001,72.5612832884,72.5612832884,73.4558061734,73.4558061734,73.4558061734,77.1925937576,77.1925937576,77.1925937576,81.4992707409,81.4992707409,81.4992707409,83.512942715,83.512942715,83.512942715,80.7845234596,
Slovak Republic,93.3045389041,92.378037015575,91.45153512705,90.525033238525,89.59853135,88.9289947911,88.9289947911,88.9289947911,91.479696928,91.479696928,91.479696928,89.9163150938,89.9163150938,89.9163150938,94.8975907718,94.8975907718,94.8975907718,93.5706009141,93.5706009141
Slovenia,92.9882769204,92.24674846766666,91.50522001493333,90.7636915622,90.7636915622,92.1647438201,92.1647438201,92.1647438201,90.5177601254,90.5177601254,90.5177601254,93.632946031,93.632946031,93.632946031,94.7545209559,94.7545209559,94.7545209559,93.4415068753,
Spain,95.1787272546,95.1787272546,93.2760440053,93.2760440053,93.2760440053,93.1177734682,93.1177734682,93.1177734682,94.7827313344,94.7827313344,94.7827313344,91.6868047278,91.6868047278,91.6868047278,93.1459859007,93.1459859007,93.1459859007,92.1724430822,
Sweden,92.7643960522,92.7643960522,92.0447340512,92.0447340512,92.0447340512,91.1209847234,91.1209847234,91.1209847234,91.8442617845,91.8442617845,91.8442617845,92.2745474807,92.2745474807,92.2745474807,93.8173603759,93.8173603759,93.8173603759,92.1421392541,92.1421392541
Switzerland,94.1934326462,93.8483459731,93.5032593,93.1581726269,93.57017689313334,93.98218115936666,94.3941854256,94.1945377523,93.994890079,93.994890079,93.994890079,93.606401065,93.606401065,93.606401065,91.9178578661,91.9178578661,91.9178578661,91.2504634678,
Türkiye,79.8634462741,79.8634462741,72.6932139893,72.6932139893,72.6932139893,73.4126505667,73.4126505667,73.4126505667,85.6384075972,85.6384075972,85.6384075972,82.9640708716,82.9640708716,82.9640708716,80.3521333275,80.3521333275,80.3521333275,,
United Kingdom,97.2709451582,97.2709451582,95.5124777428,95.5124777428,95.5124777428,93.8450381876,93.8450381876,93.8450381876,93.2232276365,93.2232276365,93.2232276365,93.1860380662,93.1860380662,93.1860380662,88.0726183365,88.0726183365,88.0726183365,88.7610470659,
United States,95.4894367935,94.0533322199,92.6172276463,92.6172276463,92.6172276463,91.4648322336,91.4648322336,91.4648322336,89.9312029547,89.9312029547,89.9312029547,91.310941678,91.310941678,91.310941678,91.7846531329,91.7846531329,91.7846531329,89.9140420971,
