Reference area,TIME_PERIOD,life_exp_norm,diff_ends_norm,earnings_norm,disp_income_norm,employment_norm,long_unemp_norm,safe_norm,housing_cost_norm,life_sat_norm,support_norm,reading_norm,L1_phys,L2_safety,L3_belonging,L4_esteem,L5_self_act,wellbeing_index
Australia,2006,0.84,,0.7128192333333334,0.6679,0.74309,0.9110415862340878,0.63,0.7723001090572094,,0.961853591889,0.6515731663636002,0.84,0.7395251547707717,0.961853591889,,0.6515731663636002,0.8220202958858874
Australia,2007,0.8519999999999999,,0.7416812,0.7036,0.7505700000000001,0.9179315980160685,0.63,0.7777357003700116,,0.961853591889,0.6542496512852003,0.8519999999999999,0.7535864163976801,0.961853591889,,0.6542496512852003,0.8310310165682228
Australia,2008,0.8560000000000002,,0.7499274499999999,0.75245,0.7547499999999999,0.9200230033244894,0.635,0.8091701380446749,,0.947713258923,0.6569261362068001,0.8560000000000002,0.7702200985615274,0.947713258923,,0.6569261362068001,0.8343770083199158
Australia,2009,0.86,,0.7401004833333333,0.7444,0.74893,0.9165814998046593,0.635,0.74773543779717,,0.947713258923,0.6596026211284002,0.86,0.7554579034891936,0.947713258923,,0.6596026211284002,0.8320174288036027
Australia,2010,0.8680000000000001,,0.7784263666666665,0.78515,0.75444,0.8981773174260065,0.635,0.7708462989693042,,0.947713258923,0.6554737442665337,0.8680000000000001,0.7703399971769961,0.947713258923,,0.6554737442665337,0.8390517620683771
Australia,2011,0.8760000000000002,,0.8152490666666667,0.8021,0.75798,0.8987555768996647,0.653333333333,0.7401961866296691,,0.944150057251,0.6513448674046667,0.8760000000000002,0.7779356939215001,0.944150057251,,0.6513448674046667,0.8432062776397142
Australia,2012,0.88,,0.8232144666666668,0.7893,0.75589,0.895296979475552,0.653333333333,0.6862203954311363,,0.944150057251,0.6472159905428,0.88,0.7672091958177258,0.944150057251,,0.6472159905428,0.8413745336909721
Australia,2013,0.8839999999999998,,0.8198231166666667,0.802025,0.75336,0.8836296717132184,0.653333333333,0.6946623852961491,,0.944150057251,0.6353447401066664,0.8839999999999998,0.7678055845015058,0.944150057251,,0.6353447401066664,0.8420556668001247
Australia,2014,0.8919999999999999,,0.8312944833333332,0.81685,0.7505,0.8535193233241495,0.636666666667,0.7044219379659107,,0.9356287953679999,0.6234734896705332,0.8919999999999999,0.7655420685483989,0.9356287953679999,,0.6234734896705332,0.8415785856640254
Australia,2015,0.8960000000000002,,0.8244142,0.8179,0.7558,0.8421474763370145,0.636666666667,0.6882123015269268,,0.9356287953679999,0.6116022392344,0.8960000000000002,0.7608567740884902,0.9356287953679999,,0.6116022392344,0.8407592406073575
Australia,2016,0.8960000000000002,,0.8301096833333335,0.826725,0.75888,0.8497381108857293,0.636666666667,0.686564431937964,,0.9356287953679999,0.6112437918849335,0.8960000000000002,0.7647806488040044,0.9356287953679999,,0.6112437918849335,0.841841391619768
Australia,2017,0.9,,0.8263194833333333,0.834975,0.7637999999999999,0.8539936016643532,0.636666666667,0.6780608324782768,,0.94095000821,0.6108853445354666,0.9,0.765635930690494,0.94095000821,,0.6108853445354666,0.84485205895166
Australia,2018,0.9119999999999999,,0.8305372333333333,0.84955,0.76917,0.855735412564028,0.636666666667,0.7017627166508315,,0.94095000821,0.6105268971860001,0.9119999999999999,0.7739036715358655,0.94095000821,,0.6105268971860001,0.8519409901145981
Australia,2019,0.9160000000000003,,0.8416974333333335,0.881825,0.77598,0.8681796509191994,0.636666666667,0.7517450211287882,0.75,0.94095000821,0.6059451728895001,0.9160000000000003,0.7926822953413869,0.94095000821,0.75,0.6059451728895001,0.8454361893085068
Australia,2020,0.9280000000000002,,0.8652565666666666,0.925975,0.76129,0.8601136396504765,0.6766666666669999,0.7930692084145364,0.72,0.929694706655,0.6013634485930004,0.9280000000000002,0.8137285135664465,0.929694706655,0.72,0.6013634485930004,0.8486801456100517
Australia,2021,0.9319999999999999,,0.8786114333333334,0.966025,0.77851,0.8372093170151417,0.6766666666669999,0.8599933211245046,,0.929694706655,0.5967817242965,0.9319999999999999,0.8328359563566631,0.929694706655,,0.5967817242965,0.8728300776862338
Australia,2022,0.9280000000000002,,0.8518332,0.909375,0.79578,0.9040515261910248,0.6766666666669999,0.7925456940216904,,0.929694706655,0.5922000000000001,0.9280000000000002,0.8217086811466192,0.929694706655,,0.5922000000000001,0.8676614904746078
Australia,2023,0.92,,0.8403683,0.887125,0.8009999999999999,0.9289857795541987,0.67,0.731822557253787,,0.893636183725,,0.92,0.8098836061346644,0.893636183725,,,0.8789976728483326
Austria,2006,0.8039999999999998,0.922,0.8275271666666667,0.87965,0.7209,0.8392772292985269,0.75,0.7390703833023059,,0.9160491821819999,0.5607759095264,0.863,0.7927374632112499,0.9160491821819999,,0.5607759095264,0.8276207670469596
Austria,2007,0.8119999999999998,0.891,0.8343196666666666,0.905125,0.7336,0.8559827089844685,0.7616666666665001,0.7801228651149981,,0.915288452596,0.5342287824861333,0.8514999999999999,0.8118028179054387,0.915288452596,,0.5342287824861333,0.8258769290846026
