,TIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,European Union - 27 countries (from 2020),25660,26170.0,26390.0,26530.0,27110.0,27530.0,28410.0,29200.0,29280.0,27970.0,28520.0,29030.0,28770.0,28740.0,29180.0,29810.0,30330.0,31140.0,31730.0,32270.0,30510.0,32470.0,33420.0,33400.0,33650.0
2,Switzerland,66030,66750.0,66530.0,65860.0,67120.0,68690.0,71090.0,73260.0,74230.0,71980.0,73760.0,74140.0,74160.0,74650.0,75620.0,75780.0,76410.0,76770.0,78760.0,79070.0,76710.0,80850.0,83000.0,82440.0,82650.0
