"PERIOD","gross values","seasonally adjusted"
"15.11.2022","3.9783670404","4.1742974336"
"15.02.2023","4.1725108474","4.001082622"
"15.05.2023","3.732896367","3.9225661503"
"15.08.2023","4.2685947324","4.0575636308"
"15.11.2023","3.99824221","4.1721468073"
"15.02.2024","4.2724657609","4.1188924627"
"15.05.2024","3.9957381983","4.2116532109"
"15.08.2024","4.7369589538","4.4853843687"
"15.11.2024","4.3621839869","4.536915328"
"15.02.2025","4.7001166501","4.5517570522"
"15.05.2025","4.6254944682","4.8831547061"
"15.08.2025","5.0826882344","4.7971561191"
